age_recode_52,39_cause_recode,,<1,1~4,5~9,10~14,15~24,25~34,35~44,45~54,55~64,65+,
1,305,,2108,375,233,263,3287,5397,8108,19423,39266,222247,300707
2,572,,,,,,,,,,,,
3,75,,,,,,,,,,,,
4,57,,,,,,,,,,,,
5,36,,,,,,,,,,,,
6,24,,,,,,,,,,,,
7,32,,,,,,,,,,,,
8,21,,,,,,,,,,,,
9,114,,,,,,,,,,,,
10,76,,,,,,,,,,,,
11,55,,,,,,,,,,,,
12,179,,,,,,,,,,,,
13,143,,,,,,,,,,,,
14,114,,,,,,,,,,,,
15,81,,,,,,,,,,,,
16,61,,,,,,,,,,,,
17,47,,,,,,,,,,,,
18,36,,,,,,,,,,,,
19,21,,,,,,,,,,,,
20,26,,,,,,,,,,,,
21,18,,,,,,,,,,,,
22,15,,,,,,,,,,,,
23,153,,,,,,,,,,,,
24,87,,,,,,,,,,,,
25,81,,,,,,,,,,,,
26,54,,,,,,,,,,,,
27,233,,,,,,,,,,,,
28,263,,,,,,,,,,,,
29,1130,,,,,,,,,,,,
30,2157,,,,,,,,,,,,
31,2530,,,,,,,,,,,,
32,2867,,,,,,,,,,,,
33,3419,,,,,,,,,,,,
34,4689,,,,,,,,,,,,
35,7275,,,,,,,,,,,,
36,12148,,,,,,,,,,,,
37,17452,,,,,,,,,,,,
38,21814,,,,,,,,,,,,
39,25637,,,,,,,,,,,,
40,28227,,,,,,,,,,,,
41,32013,,,,,,,,,,,,
42,38750,,,,,,,,,,,,
43,43584,,,,,,,,,,,,
44,36021,,,,,,,,,,,,
45,14653,,,,,,,,,,,,
46,3088,,,,,,,,,,,,
47,256,,,,,,,,,,,,
48,17,,,,,,,,,,,,
49,1,,,,,,,,,,,,
52,9,,,,,,,,,,,,
,300716,,,,,,,,,,,,
